""	E9.5_vivo_RNA	E12.5_vivo_RNA	E18.5_vivo_RNA	Primordial_NGO_vivo_RNA	Preantral_P14_vivo_RNA	Antral_FGO_vivo_RNA	PGCLCs_H18_RNA	c7_H18_RNA	c13_H18_RNA	c34_H18_RNA
Xkr4	0.306294203349359	0	0.57674054925685	0	0.410570735163309	0.487588087354463	1.20495432190001	0.491861886328464	0	2.25234193386346
Rp1	0	0	0	0	1.5966186241648	1.74975510632997	0	0	0	2.05412575229247
Sox17	1.96967119184235	0.237749993632475	0	0	0.0934070607820757	0.390739012702955	0.437024681877613	0	0	0.852740644772477
Gm37323	0.169283518500576	0	0	0	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0	0	0	0	0.247728975278243
Gm29874	0	0.201306521493585	0	0	0	0	0	0	0	0
Mrpl15	8.05298720279894	8.40338619876927	7.37135523795194	5.9249553987791	5.93631165230123	5.44469302865372	8.09387642663838	7.85966591995237	7.51117130567679	5.9254799756792
Lypla1	7.67304899925908	7.53948076405543	5.89889925441036	3.87561855095696	4.64977928268343	3.83525917312724	7.39184107865202	7.309319161955	7.05817152405191	6.33804670826789
Tcea1	7.2000518213807	7.20512599623695	5.92803337322017	5.56484900733638	7.22808028178948	8.00294333148257	7.36492725108238	7.29520055466575	6.16758242187278	8.15586568857189
Rgs20	0	0	0	0	0	0	0	0.162865895561277	0.349820232844819	0.678733810953169
Gm16041	0	0	0	0	0.0528646651022735	0	0	0	0	0.179563290132836
Atp6v1h	5.03269597903459	6.23607448862054	7.63989811774578	6.9778083573785	5.25977409596673	4.82048655223284	6.0804442448302	6.85315936696538	7.56949258115078	4.86004293753962
Oprk1	0.306294203349359	0	0	0	1.07686243461014	0.634938222566956	0.643388351173434	0	0	1.74774248969223
Npbwr1	0	0	0	0	0	0	0	0	0	0
Gm46206	0.158420424764794	0	0	0	0.0635238666917011	0	0	0	0	0.0906651199441417
4732440D04Rik	0.158420424764794	0.487484881406358	0	0	0.312737474208958	0	0	0.994991174295157	1.27476066039482	0
Rb1cc1	4.99806445157748	5.34664028861767	6.69410337549507	7.09360852565048	7.29288412143202	7.58427799234614	5.21422313481541	5.63495337039037	7.06709479335774	7.28629526989258
Alkal1	0	0	0	0	0	0	0	0	0	0
St18	0.594579457906516	0	0.19263267967534	0	1.20932220381491	2.22211977139666	0	0.295648217221603	0.380003993416035	0.477019160282684
Pcmtd1	4.14511006753942	3.6783393660876	4.48380871609005	5.66312479093042	5.24688553990485	4.49134003196442	4.99188583018782	3.73861258724985	4.86924985761456	4.33575687515925
Gm26901	1.01431830891427	0.903747630302613	2.51373764042344	0	4.15884003580577	4.87393863344475	0	1.49558129131988	3.09805517717373	2.81362013828077
Gm39589	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0.358341835938542	0	0.252121580740761	0.289633146828943	0	0	0	0.230951187442989
Gm30719	0	0	0	0	0.462055732602811	1.4361103891642	0	0	0	2.18358915362471
Rrs1	7.23359084067748	6.6453030499696	6.0668218604543	6.05304649059133	5.14709967564402	3.90370249633298	6.58486695386734	6.37614904899084	6.14250666733411	3.88873328775358
Adhfe1	0.662980336298907	1.37770779609198	2.39996898817682	4.70666261796205	3.62990062825164	4.03907864664979	2.23678594299167	1.97268510224722	0.51435529297707	6.04981091776396
2610203C22Rik	0.169283518500576	0	0.789266232707142	0.308098263516022	0.629694491503475	1.86582242094932	0	0	0.214714251043626	0.701917800590984
Vxn	0.464714628114153	0	0	0	0	0	0	0	0	0
Mybl1	1.65463012017772	1.98852612916799	4.40869492629445	2.53495781242382	3.61673525552853	4.00165362651059	1.04564003998795	2.38506857375422	4.22991104609503	2.81670155640126
